[2026-05-02 05:54:51:828] .\Envir\lua/Data/fairy_fate_cfg.lua time：140

[2026-05-02 13:42:24:508] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 13:42:54:382] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 13:43:24:288] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 13:43:54:235] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 14:04:31:864] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 14:05:01:137] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 14:07:33:520] LuaNPC:玩家名字 ID:999999999 执行 handlerequest player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928
[2026-05-02 14:07:33:520] [玩家名字]Lua执行耗时过高:78ms msgid:100 33 1 0 

[2026-05-02 14:19:29:093] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：47; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 23:57:15:891] LuaNPC:玩家名字 ID:999999999 执行 entermap player:玩家名字 耗时：31; NpcThreadId: 27928, CurPlayThreadId: 27928
[2026-05-02 23:57:15:891] LuaNPC:玩家名字 ID:999999999 执行 handlerequest player:玩家名字 耗时：31; NpcThreadId: 27928, CurPlayThreadId: 27928
[2026-05-02 23:57:15:891] [玩家名字]Lua执行耗时过高:31ms msgid:100 202 1 0 

[2026-05-02 23:57:23:776] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：47; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 23:57:55:925] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：62; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-02 23:58:27:390] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:02:49:236] LuaNPC:玩家名字 ID:999999999 执行 login player:玩家名字 耗时：31; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:03:19:996] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：63; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:10:16:113] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:10:47:127] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：79; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:11:19:590] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：93; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:11:49:822] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：62; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:12:20:151] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:12:51:861] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:13:21:837] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：63; NpcThreadId: 27928, CurPlayThreadId: 27928

[2026-05-03 00:13:51:447] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 27928, CurPlayThreadId: 27928

