[2026-05-05 08:04:59:206] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:05:04:525] LuaNPC:玩家名字 ID:999999999 执行 killmon player:玩家名字 耗时：31; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:05:29:790] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：109; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:06:00:777] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：109; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:06:31:666] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：109; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:07:03:303] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:07:35:170] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:08:07:754] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:08:38:274] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:09:09:503] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:09:59:485] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：110; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:10:29:879] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:11:00:757] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:11:30:111] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：79; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:12:00:784] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：93; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:12:31:877] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:13:01:643] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:13:32:757] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:14:08:327] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:14:39:268] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：110; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:15:15:081] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：109; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:15:45:510] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:16:55:106] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:17:26:242] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：79; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:17:56:493] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：79; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:18:28:121] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：109; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:18:59:225] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:19:29:601] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:20:00:358] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：94; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:20:31:070] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:21:54:327] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:22:24:257] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:22:54:987] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：79; NpcThreadId: 109616, CurPlayThreadId: 109616

[2026-05-05 08:23:25:599] LuaNPC:玩家名字 ID:999999999 执行 attack player:玩家名字 耗时：78; NpcThreadId: 109616, CurPlayThreadId: 109616

