[2025-10-17 20:05:52:780] [20:05:52] 正在启动游戏客户端控制器...
[2025-10-17 20:05:52:781] [20:05:52] 游戏控制台启动完成...
[2025-10-17 20:05:56:286] [20:05:56] 正在启动数据库服务器...

[2025-10-17 20:05:58:130] [20:05:58] 数据库服务器启动完成...
[2025-10-17 20:05:58:575] [20:05:58] 正在启动游戏主程序...

[2025-10-17 23:07:58:844] [23:07:58] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:08:00:814] [23:08:00] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:08:02:904] [23:08:02] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:08:04:880] [23:08:04] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:08:06:867] [23:08:06] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:08:08:932] [23:08:08] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:08:10:924] [23:08:10] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:08:12:885] [23:08:12] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:08:14:959] [23:08:14] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:08:16:929] [23:08:16] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:08:19:019] [23:08:18] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:08:20:995] [23:08:20] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:08:22:955] [23:08:22] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:08:25:025] [23:08:24] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:08:27:009] [23:08:26] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:08:29:090] [23:08:29] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:08:31:054] [23:08:31] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:08:33:128] [23:08:33] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:08:35:100] [23:08:35] RunGate(135534, 7001) Connect Fail

[2025-10-17 23:08:37:067] [23:08:37] RunGate(135534, 7001) Connect Fail
[2025-10-17 23:08:39:135] [23:08:39] RunGate(135534, 7001) Connect Fail
